ï»¿Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kenya,KEN,0.599695392,3.779906496,0.54685953,2.932475546,5.104299776,5.906666082,6.330632805,6.993285154,0.232282746,3.306939815,8.402277064,6.11161346,4.554912438
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kiribati,KIR,9.506586095,0.703251456,0.577604814,4.03025063,3.172490639,-0.174077721,-4.507931358,7.51644384,2.754238139,-0.665021325,-0.500317782,2.740007765,2.810013544
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Rep.",KOR,8.831278205,4.525319497,7.432433614,2.933207053,4.899851507,3.92368744,5.176133982,5.463406088,2.829214457,0.707518483,6.496785169,3.681704667,2.292382426
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kosovo,KSV,..,26.97391784,-0.700948289,5.980145596,2.612126758,6.033229748,4.503031756,7.286082986,2.644818653,3.341665533,3.309574839,4.385584021,2.754668146
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kuwait,KWT,4.694581988,0.729026414,3.000000009,17.32000038,10.7621943,10.07595099,7.52024923,5.991661246,2.479843833,-7.076102616,-2.367061944,9.628436082,6.626388081
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kyrgyz Republic,KGZ,5.426673766,5.321584347,-0.017353042,7.030296039,7.026859686,-0.175548166,3.102898691,8.542874896,8.401615957,2.8862947,-0.471566848,5.956274377,-0.088150193
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lao PDR,LAO,5.798782326,5.751412882,5.918749073,6.066996905,6.35769548,7.107568369,8.619266209,7.596828801,7.824902763,7.501774913,8.526905517,8.038652681,8.024211032
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Latvia,LVA,5.349566181,7.15330747,7.18893585,8.631090819,8.915678524,10.17153157,11.62112753,9.793477245,-3.175186242,-14.18597873,-2.873609696,4.997474341,4.834156296
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lebanon,LBN,1.34406653,3.953516126,3.373876548,3.23739038,7.478802317,2.702340944,1.602773165,9.4040866,9.098076674,10.30091265,7.996086279,2.004586303,2.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lesotho,LSO,5.140339514,4.22920334,0.532376117,4.691154436,2.291777907,2.704500225,4.307444107,4.733465098,5.733473897,3.38428191,7.867081634,4.045592214,4.994849617
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Liberia,LBR,28.6159381,2.918707483,3.762770617,-30.14522856,2.620610331,5.281986292,8.043142916,9.534910654,7.146926406,5.300102818,6.099946049,8.2,7.994451911
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Libya,LBY,3.679213293,-1.762878168,-0.958849381,13.01600108,4.461629982,11.87072893,6.500547227,6.352316994,2.66735579,-0.790141832,5.021289739,-62.07591958,104.4867889
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Liechtenstein,LIE,3.220190998,-0.733091477,-0.993919345,-1.937566245,3.039173512,4.828074952,8.644969847,3.325962956,1.798087686,-1.157481822,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lithuania,LTU,..,..,..,..,..,..,7.406327839,11.08690978,2.627955379,-14.81400187,1.61893218,6.114716102,3.838322648
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Luxembourg,LUX,8.44203498,2.000093883,3.27592224,1.190153476,4.926274688,4.124201705,4.881194704,6.463173267,0.487325037,-5.33368059,5.144673181,2.609030403,-0.162966697
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Macao SAR, China",MAC,5.699999959,2.900000001,8.903344706,12.5858589,26.88199281,8.558640553,14.42230849,14.32868064,3.39096755,1.712459559,27.49896423,21.29126163,9.165844611
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Macedonia, FYR",MKD,4.549135781,-3.067245662,1.494028679,2.222222222,4.674428357,4.723377527,5.137025162,6.473486858,5.471711774,-0.358615842,3.358760114,2.339892284,-0.456184412
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Madagascar,MDG,4.760065099,6.017824403,-12.67378814,9.784892131,5.257003604,4.602899965,5.022607002,6.240578451,7.128513539,-4.013860583,0.263110856,1.454392168,3.027536044
